date	title	cat1	cat2	url	post_text
June 3, 2020	Facebook and INMA Launch ‘Readers First Experience’ for US Local Newsrooms During COVID-19	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/inma-readers-first-initiative-covid19	
May 28, 2020	Watch a Journalist’s Tips for Making Videos on Your Phone	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/yusuf-omar-hashtag-our-stories	
May 28, 2020	UFC Brazil Utilizes Archive Content Library to Serve Fans During COVID-19	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/ufc-brazil-utilizes-archive-content-library-to-serve-fans-during-covid-19	
May 28, 2020	Registering Greek News Pages on Facebook	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/registering-news-pages-greek	
May 27, 2020	Facebook invests $2 Million to Support Latin America News During COVID-19	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/grants/latin-america-news-coronavirus-support	
May 26, 2020	Facebook Invests $390,000 to Support South Africa Newsrooms During COVID-19	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/south-africa-news-coronavirus-support	
May 21, 2020	Post Creation Now Available on Creator Studio App	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/post-creation-now-available-on-creator-studio-app	
May 21, 2020	FJP in Latin America: Reader Revenue Accelerator for News Organizations During COVID-19	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/grants/reader-revenue-accelerator-latin-america-coronavirus	
May 20, 2020	The Facebook Journalism Project Latin America Reader Revenue Program Terms	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/grants/latin-america-accelerator-coronavirus-grant-terms	
May 20, 2020	Updates and Guidelines for Including Music in Video	BEST PRACTICES		https://www.facebook.com/formedia/blog/updates-and-guidelines-for-including-music-in-video	
May 20, 2020	The Non-Gamer's Guide to Start Streaming Games | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/non-gamers-guide-to-streaming-games	
May 18, 2020	The FJP COVID-19 Australian News Relief Fund Grant Program Terms	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/grants/australian-news-coronavirus-grant-terms	
May 14, 2020	Seonkyoung Succeeds with Long-Form Content and In-Stream Ads | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/seonkyoung-succeeds-with-long-form-content-and-in-stream-ads	
May 13, 2020	Covering Coronavirus on Instagram: Advice for Journalists and Beat Reporters	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/coronavirus-on-instagram	
May 12, 2020	Supercharge The Way You Publish on Facebook	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/supercharge-the-way-you-publish-on-facebook	
May 12, 2020	FAQ: Facebook Journalism Project / ICFJ COVID-19 Latin America News Relief Fund Grant Program	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/latin-america-coronavirus-news-relief-fund-faq	
May 7, 2020	Facebook Journalism Project Provides $16 Million in Funding to Support More Than 200 Local Newsrooms	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/grants/coronavirus-local-news-relief-fund-recipients	
May 7, 2020	CrowdTangle Trend Report: Understanding US Local News Coverage on Facebook During COVID-19	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/coronavirus-local-us-news-crowdtangle	
May 6, 2020	5 Benefits of Registering Your Facebook News Page	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/register-news-page-facebook	
May 6, 2020	GLORY Kickboxing Leans Into Long-Form Video to Expand its Social Fanbase	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/glory-kickboxing-leans-into-long-form-video-to-expand-its-social-fanbase	
May 6, 2020	Expanding a WhatsApp Help Desk for Journalists Across Africa: A Project From Africa Check	PROGRAM IMPACT	JOURNALISM	https://www.facebook.com/journalismproject/facebook-membership-accelerator-lessons	
May 6, 2020	Latin America’s First Public Health Fact-Checking Project: The Lupa Collectiva	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/third-party-fact-checking/innovation-initiative-salud-con-lupa	
May 5, 2020	The Facebook Journalism Project / ICFJ COVID-19 Latin America News Relief Fund Grant Program Terms	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/grants/latin-america-news-coronavirus-grant-terms	
May 1, 2020	What Press Freedom Means to the Co-founder of Syria Direct	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/syria-direct-amjad-tadros	
April 30, 2020	Launching a $1M Grant Program to Support Fact-Checkers Amid COVID-19	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/coronavirus-grants-fact-checking	
April 29, 2020	Inter Milan Raises €100K+ For COVID-19 Relief via Facebook Fundraiser	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/inter-milan-raises-100k-for-covid-19-relief-via-facebook-fundraiser	
April 24, 2020	Bringing Back Live With on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/bringing-back-live-with-on-facebook	
April 23, 2020	COVID-19 Update For Our Meta Creator Community | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/covid-19-update-for-our-creator-community	
April 7, 2020	Facebook Journalism Project COVID-19 Local News Relief Fund for US Local Newsrooms	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/grants/coronavirus-local-news-relief-fund	
April 7, 2020	400 Local Newsrooms Receive Grants to Support Coronavirus Work	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/community-network-coronavirus-grants-news-reporting-recipients-round-1	
April 6, 2020	Facebook Breaking News Label Expands	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-breaking-news-label-expands	
April 6, 2020	Enabling Publishers to Label Breaking News on Facebook	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-breaking-news-label	
March 31, 2020	SC Freiburg Engages Fans with Interactive Video Series	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/sc-freiburg-engages-fans-with-interactive-video-series	
March 31, 2020	Inspire Action	BEST PRACTICES		https://www.facebook.com/formedia/blog/inspire-action	
March 31, 2020	Going Live on Facebook and Instagram	BEST PRACTICES		https://www.facebook.com/formedia/blog/going-live-on-facebook-and-instagram	
March 31, 2020	Tips to Keep in Mind Before, During, and After You Go Live	BEST PRACTICES		https://www.facebook.com/formedia/blog/tips-to-keep-in-mind-before-during-and-after-you-go-live	
March 31, 2020	Publishing on Facebook: Leveraging Playlists, Series and Bulk Features	SUCCESS STORIES		https://www.facebook.com/formedia/blog/publishing-on-facebook-leveraging-playlists-series-and-bulk-features	
March 30, 2020	Facebook Invests $100 Million to Support News Industry During Coronavirus	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/coronavirus-update-news-industry-support	
March 30, 2020	Working From Home	BEST PRACTICES		https://www.facebook.com/formedia/blog/working-from-home	
March 27, 2020	Keep Your Community Safe and Connected	BEST PRACTICES		https://www.facebook.com/formedia/blog/keep-your-community-safe-and-connected	
March 27, 2020	Introducing Live Producer for API and Web Broadcasts	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-live-producer-for-api-and-web-broadcasts	
March 27, 2020	5 Qualities of Meaningful Content	BEST PRACTICES		https://www.facebook.com/formedia/blog/5-qualities-of-meaningful-content	
March 27, 2020	Supporting Your Business	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/supporting-your-business	
March 23, 2020	Tips to Spot False News	BEST PRACTICES		https://www.facebook.com/formedia/blog/third-party-fact-checking-tips-to-spot-false-news	
March 17, 2020	Announcing $1 Million in Grants to Support Coronavirus News Reporting	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/community-network/coronavirus-grants-news-reporting	
March 6, 2020	Whistle and Courtyard by Marriott Team Up for Facebook Original Series	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/whistle-and-courtyard-by-marriott-team-up-for-facebook-original-series	
March 5, 2020	How the UFC Leverages Facebook to Drive Event Awareness and Video Revenue	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-the-ufc-leverages-facebook-to-drive-event-awareness-and-video-revenue	
March 5, 2020	Creator Studio App: Manage Your Facebook Page Content on the Go | Facebook For Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/creator-studio-app	
March 2, 2020	How the Buffalo Bills Drove 10x ROAS via Repurposed Facebook Content	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-the-buffalo-bills-drove-10x-roas-via-repurposed-facebook-content	
March 1, 2020	Expanding Fact-Checking to Instagram	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/fact-checking-instagram	
February 27, 2020	Facebook Supports Splice Media Fund to Grow Asia’s Media Startups	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/splice-beta-fund-2020	
February 26, 2020	Club América Revamps Facebook Video Strategy to Boost Ad Revenue	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/club-america-revamps-facebook-video-strategy-to-boost-ad-revenue	
February 24, 2020	Creator Spotlight: 4 Black Creators on the Rise | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-black-creators-on-the-rise	
February 21, 2020	Foxtel Uses Facebook to Drive TV Tune-In and Subscriptions	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/foxtel-uses-facebook-to-drive-tv-tune-in-and-subscriptions	
February 20, 2020	Introducing Creator Studio App from Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-creator-studio-app-from-facebook	
February 20, 2020	LadBaby Uses Facebook Success to Raise Money for Charity | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/ladbaby-raise-money-for-charity	
February 19, 2020	Bringing Music to Facebook and Instagram in Canada	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/bringing-music-to-facebook-and-instagram-in-canada	
February 14, 2020	BigDawsTv Sees Big Growth on Facebook | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/bigdawstv-sees-big-growth	
February 13, 2020	Meet the 15 Newsrooms Joining the Facebook Membership Accelerator	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-membership-accelerator-north-america-2020	
February 11, 2020	Instagram Shopping Helps Uninterrupted Launch E-Commerce Presence	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/instagram-shopping-helps-uninterrupted-launch-e-commerce-presence	
February 7, 2020	Register Your Facebook News Pages	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/news-pages-registration	
February 7, 2020	Instagram Local News Fellowship - Terms & Conditions	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/instagram-local-news-fellowship-terms-conditions	
January 31, 2020	England Rugby Shares its RWC 2019 Story Through Facebook	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/england-rugby-shares-its-RWC-2019-story-through-facebook'	
January 28, 2020	Announcing January 2020 Grant Winners of the FJP Community Network	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/community-network/grant-winners-january-2020	
January 28, 2020	What’s Next for Facebook’s Accelerator Program	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/accelerator-whats-next-2020	
January 28, 2020	Small Team? Here’s a 5-Step Instagram Plan	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/st-louis-post-dispatch-instagram	
January 28, 2020	College Seniors and Recent Journalism Grads Can Work As IG Editors in the Instagram Local News Fellowship	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/instagram-local-news-fellowship-2020	
January 28, 2020	5 Tips for Covering Live News on Instagram Stories	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/boston-globe-instagram	
January 28, 2020	How the Minneapolis Star Tribune Turned Instagram Followers Into Super-Fans	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/minneapolis-star-tribune-instagram	
January 27, 2020	Win Sports Relies on Facebook Video to Connect with a Younger Audience	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/win-sports-relies-on-facebook-video-to-connect-with-a-younger-audience	
January 24, 2020	Recap: VidCon Asia | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/vidcon-asia	
January 10, 2020	Creator Spotlight: Inspiration For A New Decade | Meta for Creators | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-inspiration-for-a-new-decade	
January 8, 2020	Understanding Video Traffic Source Insights	BEST PRACTICES		https://www.facebook.com/formedia/blog/understanding-video-traffic-source-insights	
January 6, 2020	Russell Wilson Utilizes Facebook and Instagram to Build his Personal Brand	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/russell-wilson-utilizes-facebook-and-instagram-to-build-his-personal-brand	
January 3, 2020	Facebook Introduces Enhancements to Instant Articles for Publishers	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-introduces-enhancements-to-instant-articles-for-publishers	
January 3, 2020	Facebook Partner Voices: Novak Djokovic	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-partner-voices-novak-djokovic	
January 2, 2020	The Miami HEAT Scale Up and Score Big with Facebook Ads	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/the-miami-heat-scale-up-and-score-big-with-facebook-ads	
December 27, 2019	Benito Skinner's Rise to Fame | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/benito-skinner-rise-to-fame	
December 19, 2019	How to Make Engaging Digital News Videos on Your Phone	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/how-to-make-videos-phone	
December 18, 2019	Trans7 Brings Facebook Audience Together for Ramadan	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/trans7-brings-facebook-audience-together-for-ramadan	
December 18, 2019	Verification and Safety on Facebook & Instagram	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/verification-and-safety-facebook-instagram	
December 17, 2019	Facebook Journalism Project Partners with Reuters to Launch E-Learning Course on Manipulated Media	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/reuters-course-manipulated-media	
December 11, 2019	Creator Spotlight: Finding Success with In-Stream Ads	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/finding-success-with-in-stream-ads	
December 6, 2019	Winnipeg Free Press sees 5x increase in free subscription trials	BEST PRACTICES		https://www.facebook.com/formedia/blog/accelerator-how-to-fix-subscription-registration-forms	
December 5, 2019	Digital Video Playbook for Newsrooms	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/facebook-digital-video-playbook-newsrooms	
December 5, 2019	How Being Latino Found Steady Growth With Creator Studio	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/being-latino-growth-with-creator-studio	
November 25, 2019	A Day in the Life of an IG Editor	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/instagram-thedodo-editor-day-in-the-life	
November 22, 2019	Facebook and ICFJ Renew Social Media Solutions Program for Arab Journalists	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-icfj-social-media-solutions-program-year-two-announcement	
November 20, 2019	Facebook Partners with the International News Safety Institute on Journalist Safety	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-insi-partner-journalist-safety	
November 20, 2019	European Community News Summit 2019: A Recap	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/european-community-news-summit-2019	
November 18, 2019	Fact-Checking Innovation Initiative Terms and Conditions	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/fact-checking-innovation-initiative-terms	
November 12, 2019	Introducing Evelyn From The Internets | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/evelyn-from-the-internets	
November 11, 2019	How to Reinvent Your Instagram, According to One of Argentina's Biggest Newspapers	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/como-reinventar-tu-instagram-segun-uno-de-los-periodicos-mas-grandes-de-la-argentina	
November 11, 2019	Facebook Supports Newsrooms for U.K. General Election 2019	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-uk-general-election-2019	
November 7, 2019	How to Build a Loyal Audience - Facebook Accelerator Program	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/how-to-build-a-loyal-audience-facebook-accelerator-program	
November 7, 2019	The Facebook Journalism Project Partners With The Discourse to Boost Small Independent Publishers	SUCCESS STORIES		https://www.facebook.com/formedia/blog/the-facebook-journalism-project-partners-with-the-discourse-to-boost-small-independent-publishers	
November 7, 2019	The Facebook Journalism Project Partners With The Discourse to Boost Small Independent Publishers	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-discourse-boost-small-publishers	
November 6, 2019	Monetization & Management Updates for Video Creators and Publishers	BEST PRACTICES		https://www.facebook.com/formedia/blog/monetization-management-updates-for-video-creators-and-publishers	
October 31, 2019	How Talent Manager Jake Rosen Uses Creator Studio to Manage His Clients’ Facebook Presence	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-talent-manager-jake-rosen-uses-creator-studio-to-manage-his-clients-facebook-presence	
October 30, 2019	Facebook Supports Newsrooms for U.K. General Election 2019	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-uk-general-election-2019	
October 30, 2019	Facebook Supports Newsrooms Throughout the 2019 APAC Elections	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-2019-apac-elections	
October 30, 2019	Facebook Partners With WAN-IFRA to Support Asia’s Newsrooms	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-wan-ifra-newsroom-transformation-2020-asia	
October 28, 2019	Instagram Next Conference Gathers Media in New York	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/instagram-next-conference-2019	
October 25, 2019	Mark Zuckerberg Talks Facebook News and Journalism in the Digital Age	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/mark-zuckerberg-talks-facebook-news-journalism	
October 25, 2019	Where to Find Facebook at Digital Media Asia 2019	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-digital-media-asia-2019	
October 24, 2019	Facebook Launches Journalist Training Program in Turkey	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-journalist-training-program-turkey	
October 23, 2019	5 Tips to Help Newsrooms Create Better Videos - Facebook Video Accelerator Program	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/how-to-make-online-news-videos	
October 22, 2019	Facebook Supports the Launch of Abraji's Journalist Training Program in Brazil	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-abraji-brazil-training-program	
October 21, 2019	Dunks, Crossovers, and Storytelling: How the NBA Wins at IGTV	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/dunks-crossovers-and-storytelling-how-the-nba-wins-at-igtv	
October 18, 2019	Facebook Announces First Fact-Checking Partner Summit	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/fact-checking-summit	
October 17, 2019	More Music on Facebook and Instagram in EMEA	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/more-music-on-facebook-and-instagram-in-emea	
October 16, 2019	Registering India News Pages on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/registering-india-news-pages-on-facebook	
October 16, 2019	India-Based FilterCopy Turns Popular Videos into Revenue Source with In-Stream Ads	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/india-based-filtercopy-turns-popular-videos-into-revenue-source-with-ad-breaks	
October 14, 2019	Matching publishers and public figures to bring more content to Facebook Watch in Europe	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/matching-publishers-and-public-figures-to-bring-more-content-to-facebook-watch-in-europe	
October 11, 2019	Introducing Facebook for Student Journalists	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-student-journalists	
October 11, 2019	Amplifying Community Voices: StreetMeet	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/community-voices-streetmeet	
October 8, 2019	Facebook Supports Digital Video Across Europe	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-video-accelerator-program-europe	
October 8, 2019	Facebook Journalism Project Community Network - Terms & Eligibility	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-community-network-terms-eligibility	
October 3, 2019	5 Ways to Roll Out New Tools in a Newsroom - CrowdTangle	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/crowdtangle-lighthouse-lab	
October 3, 2019	CrowdTangle Program Empowers Digital Innovation in Newsrooms	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/crowdtangle-program-innovation-newsrooms	
October 1, 2019	Course: Monetize Your Page with Fan Subscriptions | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/monetize-with-fan-subscriptions	
September 24, 2019	Publish to Instagram from your desktop | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/publish-to-instagram-from-desktop	
September 24, 2019	Facebook Partner Voices: Brad Keselowski	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-partner-voices-brad-keselowski	
September 20, 2019	US Soccer Leverages Women’s World Cup Spotlight to Drive Business Results	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/us-soccer-leverages-womens-world-cup-spotlight-to-drive-business-results	
September 20, 2019	3 Facebook Tools That Connect People with Local Breaking News	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-tools-local-breaking-news	
September 18, 2019	Your Creator Studio Playbook | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/creator-studio-playbook	
September 18, 2019	Facebook Accelerator Program Expands to Australia and New Zealand	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-accelerator-program-australia-new-zealand	
September 17, 2019	Creator Spotlight: Off The Beaten Track | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-off-the-beaten-track	
September 16, 2019	3 Smart Ways to Analyze Data in Your Newsroom	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/data-analysis-newsroom	
September 16, 2019	Facebook Accelerator Program Expands to France	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-accelerator-program-france	
September 16, 2019	Updates for Video Creators & Publishers: Live and Creator Studio	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/updates-for-video-creators-publishers-live-and-creator-studio	
September 13, 2019	How To Monetize Videos - Facebook Video Accelerator	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/how-to-monetize-video	
September 12, 2019	CrowdTangle Trends Report: U.S. Local News on Facebook	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/crowdtangle-trends-report-us-local-news-facebook	
September 12, 2019	Facebook Journalism Project Community Network - Grant Winners - September 2019	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-community-network-grant-winners-september-2019	
September 11, 2019	How AFP Has Built a Global Fact-Checking Operation	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/afp-fighting-false-news-facebook	
September 10, 2019	New Features for Public Figures	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/new-features-for-public-figures	
September 9, 2019	New York Jets Ticket Sales Fly High with Facebook Partnership	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/new-york-jets-ticket-sales-fly-high-with-facebook-partnership	
September 5, 2019	Investing in video content from European publishers	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/investing-in-video-content-from-european-publishers	
August 28, 2019	ONA19: Facebook, Instagram, CrowdTangle Schedule	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/ona19-facebook-instagram-crowdtangle-schedule	
August 28, 2019	ONA19: Highlights From Facebook, Instagram, CrowdTangle	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/ona19-conference-facebook-instagram-crowdtangle	
August 28, 2019	Supporting Newsrooms and Journalists Throughout the 2020 U.S. Primaries	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-2020-us-primaries	
August 27, 2019	Copa América Leverages Facebook and Instagram to Build Audience	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/copa-america-leverages-facebook-and-instagram-to-build-audience	
August 22, 2019	Facebook Oversight Board for Content Decisions: What to Know	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-oversight-board-for-content-decisions-overview	
August 7, 2019	Watch: How to Apply for a FJP Community Network Grant	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-community-network-grant-how-to-apply	
August 6, 2019	Video Webinars for Publishers and Journalists	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/video-webinars-journalists-publishers	
August 5, 2019	Facebook partners with Australian news publishers to fund news shows on Facebook Watch	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-partners-with-australian-news-publishers-to-fund-news-shows-on-facebook-watch	
July 26, 2019	How India's Factly Is Using Technology to Fight Misinformation	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/india-factly-fighting-false-news-facebook	
July 24, 2019	7 Initial Steps to Take Toward a Reader Revenue Strategy	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/reader-revenue-strategy	
July 19, 2019	Best Practices for Video Distribution	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/best-practices-video-distribution	
July 17, 2019	14 Ideas to Jumpstart Your Digital Subscriber Growth	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/digital-subscriber-growth	
July 17, 2019	Announcing the First Grant Recipients of the Facebook Journalism Project Community Network	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-community-network-grant-winners-july-2019	
July 15, 2019	Duke Basketball Scores with Innovation and Fan Engagement on Facebook and Instagram	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/duke-basketball-scores-with-innovation-and-fan-engagement-on-facebook-and-instagram	
July 10, 2019	4 Tips for Building a User-Oriented Newsroom Culture	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tips-building-newsroom-culture	
July 9, 2019	More Ways For Creators to Monetize and Manage Their Presence	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/more-ways-for-creators-to-monetize-and-manage-their-presence	
July 9, 2019	How Germany's Funke Mediengruppe Started Thinking Reader First	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/germany-funke-mediengruppe	
July 8, 2019	How Newsrooms Can Drive Subscriber Engagement and Retention	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/newsrooms-subscriber-engagement-retention	
July 5, 2019	Facebook Video Accelerator Program Meets in Chile and Argentina	ANNOUNCEMENTS		https://www.facebook.com/formedia/facebook-video-accelerator-chile-argentina	
July 2, 2019	3 Publishers Share Newsletter Strategies That Drive Subscriptions	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/newsletter-strategies-for-subscriptions	
